"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","life_expectancy","aged_65_older","gdp","popdens","hdi","vaccine","cases","deaths","lifeexp","aged65older"
"58","Africa","Eritrea","2021-05-19",0,44.304,0.459,1510.459,3887,14,-0.185863937685394,-0.638294001757722,-0.805631249952059,-0.18287016490323,-0.933765139970189,-0.155065414483776,-0.25383002141046,-0.283068718213187,-0.571838656697561,-0.691274454587095
"59","Europe","Estonia","2021-05-19",603161,31.033,0.892,29481.252,127757,1232,0.529505063845942,1.82923181415073,0.559681761096092,-0.189119181527882,0.938438333140292,-0.139927571123445,-0.215900305998923,-0.263078064222606,0.607628033736966,1.79522218282123
"60","Africa","Eswatini","2021-05-19",0,79.492,0.611,7738.975,18530,672,-0.538940586589346,-0.707437672459101,-0.501604333935714,-0.166300923927548,-0.276548216384062,-0.155065414483776,-0.249346249530496,-0.272269169505632,-1.15397479295872,-0.760949715363952
"61","Africa","Ethiopia","2021-05-19",1501724,104.957,0.485,1729.927,267597,4038,-0.16973645616939,-0.650908049791082,-0.794918557040252,-0.154310025853042,-0.821346455672562,-0.117375871090802,-0.173080483579052,-0.217024061679445,-0.545248425351211,-0.703985481890981
"62","Oceania","Fiji","2021-05-19",0,49.562,0.743,8702.975,178,4,-0.121354011621376,-0.230751239988558,-0.454549474152138,-0.18039429048439,0.294192796203891,-0.155065414483776,-0.254965738811456,-0.283232845093241,-0.465477731312161,-0.280598424287468
"63","Europe","Finland","2021-05-19",2468703,18.136,0.938,40585.721,90687,929,0.712091193866419,2.10580649695624,1.10171415919367,-0.195192089930274,1.13733292843609,-0.0931070993453983,-0.227251355892405,-0.268051108688243,0.908667438622428,2.07392322592866
"64","Europe","France","2021-05-19",0,122.578,0.901,38605.671,5978650,108342,0.755289805070002,1.87065572497633,1.00506377007077,-0.146012691670011,0.977352493089471,-0.155065414483776,1.57567720585509,1.49488494803612,0.979891272585866,1.83696456878214
"65","Africa","Gabon","2021-05-19",0,7.859,0.703,16562.413,24039,147,-0.177224215444677,-0.507014464817942,-0.0709138381897876,-0.200031299021643,0.121240974207542,-0.155065414483776,-0.247659361646407,-0.280885830708468,-0.557593889904873,-0.558985614868874
"66","Africa","Gambia","2021-05-19",0,207.566,0.496,1561.767,5966,175,-0.43180803080446,-0.835758358625625,-0.803126798970964,-0.105993746232895,-0.773784704623566,-0.155065414483776,-0.253193419502488,-0.280426275444317,-0.977339684729399,-0.890256956084965
"67","Asia","Georgia","2021-05-19",0,65.032,0.812,9745.079,333601,4519,0.243242266936864,1.11474721690314,-0.403682194484189,-0.173109814018157,0.592534689147594,-0.155065414483776,-0.152869674375669,-0.209129558748846,0.135651427339252,1.07524448812704
"68","Europe","Germany","2021-05-19",0,237.016,0.947,45229.245,3627777,86908,0.678684267868982,2.14084551927113,1.32837429479706,-0.0921264009238737,1.17624708838527,-0.155065414483776,0.855826201910089,1.14309539332831,0.853587673690704,2.10923163510612
"69","Africa","Ghana","2021-05-19",0,126.719,0.611,4227.63,93456,783,-0.315459771296143,-0.672865837108412,-0.673000440395007,-0.144062787529955,-0.276548216384062,-0.155065414483776,-0.226403471965914,-0.270447361137032,-0.785510158587874,-0.726112084975524
"70","Europe","Greece","2021-05-19",4615746,83.479,0.888,24574.382,383558,11587,0.731098582795996,1.97623997888519,0.320167155467219,-0.164423534937835,0.921143150940657,-0.039221651476761,-0.137572550029062,-0.0931246799266569,0.940005925566341,1.94336057510356
"71","North America","Greenland","2021-05-19",19241,0.137,0,0,0,0,0.124014100014976,-1.20000846171239,-0.87935991847264,-0.203667415845964,-2.9183872973783,-0.154582513162079,-0.255020243448118,-0.283298495845263,-0.0609263543998346,-1.25730748526755
"72","North America","Grenada","2021-05-19",0,317.132,0.779,13593.877,161,1,0.164332803804987,-0.0625639328770954,-0.215814300059597,-0.0544015711521412,0.449849436000606,-0.155065414483776,-0.254970944310463,-0.283282083157257,0.00554922396604075,-0.111118060235655
