"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"83","Asia","Indonesia","2021-05-19",0,145.725,0.718,11188.744,1753101,48669,-0.333213881051143,-0.13511328787144,0.186097907456173,-0.155065414483776,0.281789492708189,0.515490616689701
"84","Asia","Iran","2021-05-19",0,49.831,0.783,19082.62,2792204,77765,0.0521027458460896,-0.18026762441009,0.467144618200241,-0.155065414483776,0.599968882982466,0.99303418689491
"85","Asia","Iraq","2021-05-19",0,88.125,0.674,15663.986,1151557,16069,-0.114767942454081,-0.162235837609967,-0.00414909673981132,-0.155065414483776,0.09759321655159,-0.0195630122864402
"86","Europe","Ireland","2021-05-19",0,69.874,0.955,67335.293,254870,4941,2.40741681451593,-0.170829824680762,1.21083745278454,-0.155065414483776,-0.176977565100346,-0.202203404410566
"87","Europe","Isle of Man","2021-05-19",79300,147.872,0,0,0,0,-0.87935991847264,-0.13410231366504,-2.9183872973783,-0.153075181397628,-0.255020243448118,-0.283298495845263
"88","Asia","Israel","2021-05-19",10543578,402.606,0.919,33132.32,839221,6395,0.737898039934577,-0.0141537792016063,1.05518081298783,0.109552212022964,0.00195411432524015,-0.17833935605071
"89","Europe","Italy","2021-05-19",28859336,205.859,0.892,35220.084,4172525,124646,0.839806175081047,-0.106797534295458,0.938438333140292,0.569232257035372,1.02263121209015,1.76247741327621
"90","North America","Jamaica","2021-05-19",0,266.879,0.734,8193.571,47572,892,-0.479414550701093,-0.0780645831662067,0.255278636254712,-0.155065414483776,-0.24045341999161,-0.268658378144443
"91","Asia","Japan","2021-05-19",7577142,347.778,0.919,39002.223,699931,11900,1.02442030405096,-0.0399710562339662,1.05518081298783,0.0351020345306413,-0.0406972948914632,-0.0879875085809658
"92","Asia","Jordan","2021-05-19",0,109.285,0.729,8337.49,726432,9295,-0.472389562770395,-0.152272067601855,0.233659658505169,-0.155065414483776,-0.0325825343512101,-0.130742560835041
"93","Asia","Kazakhstan","2021-05-19",2700694,6.681,0.825,24055.588,420863,3409,0.294843733344231,-0.200585992834004,0.648744031296407,-0.087284701314016,-0.126149541766953,-0.227347642434844
"94","Africa","Kenya","2021-05-19",945597,87.324,0.601,2993.028,166382,3035,-0.733263950766918,-0.162613010567268,-0.319786171883149,-0.131333277843644,-0.204073106049212,-0.233485987748864
"95","Europe","Kosovo","2021-05-19",0,168.155,0,9795.834,106657,2240,-0.401204736591745,-0.124551503311802,-2.9183872973783,-0.155065414483776,-0.222361248884072,-0.24653407471316
"96","Asia","Kuwait","2021-05-19",0,232.128,0.806,65530.537,294693,1703,2.31932289281098,-0.0944280506308514,0.566591915848141,-0.155065414483776,-0.164783530573554,-0.255347688172061
"97","Asia","Kyrgyzstan","2021-05-19",0,32.333,0.697,3393.474,101219,1725,-0.713717342487983,-0.188507040648367,0.0952982009080891,-0.155065414483776,-0.224026396154662,-0.254986609035942
"98","Asia","Laos","2021-05-19",0,29.715,0.613,6397.36,1737,2,-0.567091373052458,-0.189739798204191,-0.267900625284244,-0.155065414483776,-0.254488363931933,-0.283265670469252
